id,answer
ef24f39f-aa85-4515-94ce-aee4403affc9,兩條母親河
4caa7e6a-9426-44fb-a0d9-7c55d12acb94,青海
87783305-0a8e-447c-9221-fdc42d58b5f0,山東省東營市墾利縣
9fe9ed18-f9df-426d-aaaf-8702b2823ef7,黃河中游
a73a4429-c284-4421-a9b1-461de2aaeacb,黃河泥沙量大
d08d2f0a-e8a2-4f5d-980c-5bad4a2b434b,大堤內成
773b548f-7cf7-4300-9a6b-1f09ab06ed80,黃河
eeabd36f-9e73-4e45-a304-341a4715ce4e,凌汛易於
3a7dc5f5-bdf3-438d-8d3f-ffbf529d6326,南宋
cecf444b-7b6f-4944-88f4-287f688e269f,日軍
e7b1ee07-dd6e-453a-ba1a-bd0d1fafa7d3,26次
222fff61-bbb6-4052-b044-7d85d7fd0c42,唐宋
ad6aa1bd-bafe-4407-ab5f-29a2eb3908b6,《河源志》一書
141af4ce-2aec-43dc-854b-448478d15a78,《望河源》
7da7203e-8f50-48a9-93ed-30bfb4bfd795,董在華
ab2793bc-c5cc-4360-b7d8-202d652bafe5,雅合拉達合澤山
7d1df868-80ae-4783-b201-03302b6d2937,1978年
2469cecb-ad84-4cf2-9fe5-4931676a0c48,1985年
18351b3c-880e-4eb3-a815-51680c378e9d,扎曲
b44e2ccd-8aac-4c18-9c59-1a67a2c2def4,星宿海西
08eff96b-e922-43af-bc73-b22dc34693a5,扎曲
921d3575-0a07-4573-81d7-bfcd8145a331,卡日曲
97b4dd2e-85d0-4668-b0ce-653ee53e4ec4,楊聯康經
05c1d085-4f0b-49ad-a099-861c72c17c79,河道
279b296b-081b-433e-97a8-5b3176721634,水多沙少
d6669f38-020c-4a64-b919-b75b2af58e20,上遊
58fb8e3b-5bcd-4cfd-82b5-5b3918bec7f5,108億立方米
ad115e74-e1d0-4f64-8bc9-ec2ba8e31f2a,四川岷山的支流白河
0c3fa6b7-a50e-4358-b980-a9450a58c03c,岩石性質
0eee6ff5-d251-40a3-b177-716d99d79adb,寧夏
dd338cf9-a523-404f-aaab-86a903026f90,沿河
392285ba-3a9e-47f7-a96b-67a379e25875,河套平原
7eb129a2-f400-4efb-b654-26cb157dc38f,銀川平原
41b9451d-98e6-44d6-b212-ce581dbb6db3,92%
ce842c25-f3b8-40ac-bfb9-4b562978803b,水力資源豐富
6f909a75-1d30-4d81-803c-0186432bc028,150
02f283e7-6f64-4d9c-a18d-3c6bc59c13dc,「橡膠樹
1d302593-3edc-497e-abbe-b9114b36d443,雜交的傾向
d29c6dea-9ffa-46ca-860d-17935d9ed0c5,不能防水
02d30eef-bd34-457b-8c63-402badee28a3,本綱
059c2698-7b22-4a06-a31a-1ad5d975224b,下頜
3aeae3f3-2a63-4625-9806-a19fbee9fbc2,無頜總綱
fa230ed2-5184-44ce-a4a3-63e50d42df64,與鰭甲型
8750b8e1-b15f-4a30-91ae-0f5a76a7e9f6,頭甲魚綱
70561c81-bb17-4e8e-9483-8474eb580348,壯語
7c8d5a90-fc06-4fa1-9a32-fe5c25cd2363,壯語
09c93296-a980-412a-9766-a561f3ff72c5,壯語
62076938-b49b-40b3-813c-5141495837cc,廣西
04fc76b7-cab4-4a73-b5d4-3b3ca827d726,標準壯語
ee09b30a-5ba6-49e7-9f9e-73296b708898,漢族政權
18a19b8e-d1ec-423a-a1c5-0ac81c8916e1,前112年
7cd45304-08c9-48f3-92e0-8c71d6310d63,5世紀
4bb5f7d2-67f1-4308-8975-36ac42df0d6c,總體上以壯語
a50af5fc-ea64-4bb0-af84-2ac112c978ee,漢字
26776d75-5e03-4c14-b2c9-869dfeb202d9,1949年
1c47fa8c-3ea3-401e-84e9-d6e8073dd0dd,拉丁字母的拼音文字
278f367a-d43f-4485-8e5b-6d420083019a,壯語北部
9b3bb21b-c79a-4d17-8fe1-8da959263b40,2500萬
ccd0c00f-e4a4-4870-a502-544a3c1e4ab0,2500萬
f72605e2-4ddb-47cf-8545-302fba23fbe7,孟買港
c57dd824-073a-42b4-9537-b1ec6b830eca,印度各地的移民
8f284cf0-396b-4ed2-9d52-64905510bdc4,小島
bbaf4a58-97db-4fdf-a717-24d0b9111ec8,島嶼
4d13abc0-4044-4fcf-b95a-17730f916419,希爾哈拉王朝
3348f4e1-e36e-42d7-9213-1c1bd81c2480,深水港
5f269b61-60c6-4298-857e-3398fbf3113b,蘇拉特
8091006c-5651-4daa-a34c-d65ec2ca6874,霍恩比填海工程
aade2f0c-f232-454e-ba3f-ace5064a1578,1853年
3d177a64-641f-40ae-8524-126453c319a7,蘇伊士運河
38bfa5d2-3867-4626-b644-365a16ed80cf,1906年
bbc7df41-b069-473e-9ab9-45d55beb009a,印度運動
be9a5e3c-0af7-49be-9d1b-de2347e4d6b1,印度獨立
d4dce092-3184-41d4-bcce-030da35c8278,馬拉地
5e757a4b-46d1-4573-a162-bbc723e5ff16,印度
bb2d254c-e164-4229-88bf-bf71586fd2cb,鋸齒狀
